date,soc_start_kWh,soc_end_kWh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_grid_kWh,emergency_grid_kWh,emergency_intervals,charge_kWh,discharge_kWh,surplus_kWh,solve_time_s
2025-02-01,8550.0,8550.0,27050.5288045981,0.0,27050.5288045981,51343.418629,0.0,0,21396.608356,17331.2528345,12899.887174166666,0.13027050000528106
2025-02-02,8550.0,8550.0,61975.80729130571,0.0,61975.80729130571,97203.479469,0.0,0,25154.4299,20375.08829,14067.859909000003,0.1275722999998834
2025-02-03,8550.0,8550.0,61143.2377452903,0.0,61143.2377452903,96063.836151,0.0,0,24969.65351,20225.419410000002,11102.685551000004,0.12217249999957858
2025-02-04,8550.0,8550.0,60848.2679220921,231.66461287999942,61079.9325349721,95736.723857,77.68794333333318,3,24870.082460999998,20144.76686,9894.232249333338,0.12849950000236277
2025-02-05,8550.0,8550.0,60586.882072815395,164.37504320666702,60751.25711602206,95297.442456,66.19303333333346,2,24833.33324,20114.999981,9896.875247000002,0.12434819999907631
2025-02-06,8550.0,8550.0,60847.814784497,0.0,60847.814784497,95590.640752,0.0,0,24833.33324,20114.999965,10601.250260333336,0.14225620000070194
2025-02-07,8550.0,8550.0,25498.832147427398,0.0,25498.832147427398,48829.522436,0.0,0,21198.64989,17170.906477,12996.099356333336,0.13686919999599922
2025-02-08,8550.0,8550.0,24800.9575441652,0.0,24800.9575441652,47400.190098,0.0,0,20713.6714302,16778.07390876,11887.429859893335,0.13145530000474537
2025-02-09,8550.0,8550.0,58857.954558733996,753.0523219766667,59611.006880710665,92976.312195,268.9820933333334,3,24833.33324,20114.99996,8971.545041666668,0.14986469999712426
2025-02-10,8550.0,8550.0,59075.3159912509,0.0,59075.3159912509,93331.628717,0.0,0,24833.33324,20114.999986000003,14286.65787966667,0.14578319999418454
2025-02-11,8550.0,8550.0,58234.70394294257,0.0,58234.70394294257,92283.3330909,0.0,0,24833.33324,20115.0,12344.40271756667,0.13771879999694647
2025-02-12,8550.0,8550.0,57555.5971493068,0.0,57555.5971493068,91310.68024799999,0.0,0,24746.05658,20044.30589,11342.19342466667,0.11523139999917476
2025-02-13,8550.0,8550.0,57048.603119796,0.0,57048.603119796,90538.62118199999,0.0,0,24706.92728,20012.6112,14514.826085333334,0.12517709999519866
2025-02-14,8550.0,7950.0,21794.4824640564,791.5536057316672,22586.036069788068,41732.475841,291.4127400000001,2,19623.2391754,16434.82373,9033.671318933335,0.1350793000019621
2025-02-15,7950.0,8550.0,21766.9929494554,369.2407933099998,22136.233742765402,41796.47786,74.67171666666661,2,20361.72408521,15952.996528,8182.330919456668,0.12716480000381125
2025-02-16,8550.0,8550.0,54379.383028179596,401.0144074699998,54780.3974356496,86960.82273700001,101.11218000000011,6,23871.56052,19335.964089999998,7148.959387000003,0.19797660000040196
2025-02-17,8550.0,8550.0,53949.4777374221,0.0,53949.4777374221,86382.806639,0.0,0,23557.43284,19081.52063,10723.031262333336,0.157571799994912
2025-02-18,8550.0,8550.0,53338.0201390724,2.101091534332927,53340.12123060674,85571.339697,0.5075713333332352,1,23204.376313,18795.54489774,9071.628069740003,0.14591930000460707
2025-02-19,8550.0,8550.0,52963.263065655396,462.239865976666,53425.502931632065,85069.78271900001,128.69564333333292,7,23166.66658,18764.99999,7917.484389000003,0.13104339999699732
2025-02-20,8550.0,7950.0,52421.986455449805,235.01889371333272,52657.00534916314,84027.197082,56.40490999999997,5,22499.99991,18764.999986000003,9355.46833466667,0.13626010000007227
2025-02-21,7950.0,7653.8775,20000.6747250658,363.54185044666656,20364.216575512466,38287.955766,63.36883833333343,6,18638.501992,15363.69686,9516.257439,0.13819510000030277
2025-02-22,7653.8775,8550.0,20147.936630904303,774.9902175652342,20922.92684846954,38851.919997000005,166.10686056666685,8,19597.184158000004,15067.208943099999,6643.288759333334,0.12414390000049025
